"","Hepatocytes_1","Hepatocytes_2","Endothelial","Kupffer","Stellate","Cholangiocyte","T_cell"
"AC244205.1",0.0103227339332504,0.021157896969752,0.383790263080671,0.0154797343414349,0.0237672203403632,0.0445532293888084,-0.000244775030894317
"BICC1",0.8876196719449,0.851066254887687,0.278100805391567,0.213945685972709,3.33922800918072,39.7777219370241,0.352452720336172
"NRXN1",0.0855151492156341,0.0648297330344955,0.0712816387119995,0.156732315321532,0.85648781615792,0.149546992658355,0.0497306577604202
"PKHD1",1.62400267646802,0.756389522600113,0.165405389061354,0.216020177602289,0.485694549994759,35.8107050621806,0.113143729242617
"HS3ST2",0.0680861983891928,0.0963624802579298,0.0794795482296285,1.1710978269107,0.0886124734637082,0.0269036918184938,0.0592882988955875
"FGF12",0.156012169306119,0.271359411354082,2.71607975526746,0.0928474915853346,0.136984750669307,0.139233027607782,0.0682308588462862
"CTNND2",0.412873505371029,0.210299609668742,0.10872747391033,0.083441720693471,0.261070132361588,18.566150298805,0.0780707391820152
"LAMA2",0.539049310876302,0.240937309572466,0.168364362227486,0.21807568954027,15.9419992549474,0.24609505366402,0.208993015437796
"RALYL",0.1866436731656,0.0963126788700781,0.0417566906804201,0.0753980325055775,0.069932813075609,8.93990183860405,0.0593428792284167
"TLL1",0.0782084835301579,0.0289939215994187,1.44886786011261,0.0146709310625258,0.0580889151043037,1.04178065931335,0.0144746815658004
"CACNA1C",0.221731127864116,0.141942422614327,0.282124648950399,0.121194654584675,7.06407791582338,0.178405458677136,0.207777887960835
"ANK1",0.0217339099534019,0.286228948758287,0.0339373762371,0.0580251926987106,0.0272448245545171,0.0992597151858062,0.0421261150567049
"AC092691.1",0.0234196831157136,0.0182392667696678,0.075465618243214,0.00888116775543411,0.371888856707491,0.00731423326192511,0.00267594383728983
"PDGFD",0.172609202842834,0.127727830925268,0.23418840806365,0.124056451958132,0.956611817488738,5.63112889355174,2.31479976898789
"PLCXD3",0.241071349912434,0.120207348660348,0.940489565133527,0.0659925508710971,5.64937639065271,0.778550283199151,0.190421726786791
"XKR4",0.0248404995656088,0.0181240610786563,0.0251308798221232,0.0552012396643184,0.334932845396973,0.0316985220162248,0.0113872476290466
"HGF",0.340044252117064,0.243033354924341,0.126913738392195,0.182878268685858,9.82082163390932,0.206495248142804,0.0603094637124137
"SGCZ",0.105995723882272,0.0619373154395978,0.05327454372008,0.0582075631715026,1.99051515669375,0.0960536198135888,0.0256575936831928
"SPTA1",0.00661675006836108,0.256485659473294,0.019456410912021,0.017245608374308,0.018026732654882,0.0226469271818505,0.0412558529003419
"CDH19",0.0952978464959176,0.0355093897960236,0.0580365838043847,0.0735998324711476,2.25102997732269,0.104111553635932,0.0230144316214139
"VCAN",0.0801488873116968,0.209076412398385,0.130743904998866,1.61179894328721,0.249314298454395,1.2362954554029,0.232778637612863
"COL25A1",0.147637450165064,0.0955917879573894,0.0593713654857868,0.104156816688327,2.89417136510317,0.0889665100027526,0.079720633371119
"NEGR1",0.0786575624422474,0.0553941715298382,0.0542283088137597,0.068894033858922,0.986373302801385,0.139295174646849,0.019692072820517
"CACNA2D1",0.354386742700355,0.216568060761305,0.271187641730164,0.145293115059209,9.65542382147876,0.261872830903527,0.152772250315743
"CADM2",0.124739589481928,0.0755037295338521,0.0415807882815896,0.0626529087348121,2.14646858103471,0.145376437060799,0.0539293370339854
"MGAT4C",0.0918304759255041,0.0900418568635449,0.0541997088518841,0.0495751137014241,2.82524156525975,0.0949580137602342,0.0608415318081806
"MARCO",0.0877902417428283,0.140288518678313,0.113869547943373,4.14208412469519,0.134373515639705,0.0631863656582446,0.0843130004713277
"CCBE1",0.680147162265589,0.314195175375497,0.179571403178625,0.136492891749229,20.8801157182732,0.401052051741264,0.214019747055922
"CFTR",0.119969530103631,0.180165715495301,0.150173933249794,0.162135264446789,0.132257429361154,2.34898097889072,0.0935895032625502
"PDZRN4",0.165775302359024,0.0933954894024865,0.136871939694862,0.0677196956881012,4.56407068922736,0.0395698201020471,0.116667629517939
"SLC4A1",0.0181128357820234,0.251391912271827,0.0583414121525926,0.0444800339600549,0.0425597269283624,0.00962760323220486,0.130930634193656
"ADGRB3",0.518989597561568,0.328013861183703,2.05915029041679,0.191048792137757,11.45622759442,0.312205145976677,0.190565805416024
"CA1",0.109752793380046,1.22980910754954,0.11026988170099,0.0666425510705501,0.0627094505755781,0.206124487522253,0.0409594056737512
"ANKRD36BP2",0.0178826448723754,0.0305862656612267,0.250729737361373,0.00653579867222059,0.0245999065340711,0.0431457058886488,0.0433810038492942
